Date,Values
1971M12,9458
1971M11,10899
1971M10,11647
1971M09,11605
1971M08,11891
1971M07,12483
1971M06,11895
1971M05,12248
1971M04,11545
1971M03,12835
1971M02,11756
1971M01,12864
1974M12,9960
1974M11,11249
1974M10,12169
1974M09,11693
1974M08,12266
1974M07,12479
1974M06,12429
1974M05,12685
1974M04,11848
1974M03,13114
1974M02,11860
1974M01,12317
1975M12,10538
1975M11,10886
1975M10,11961
1975M09,11917
1975M08,12371
1975M07,13171
1975M06,12230
1975M05,11879
1975M04,10668
1975M03,12471
1975M02,11200
1975M01,12981
1976M12,10231
1976M11,11316
1976M10,12449
1976M09,12396
1976M08,12653
1976M07,13187
1976M06,12464
1976M05,12880
1976M04,11687
1976M03,13114
1976M02,11783
1976M01,12406
1977M12,10576
1977M11,11187
1977M10,11617
1977M09,11488
1977M08,12132
1977M07,12625
1977M06,12671
1977M05,13030
1977M04,11927
1977M03,12718
1977M02,11046
1977M01,12722
1978M12,10900
1978M11,11213
1978M10,11872
1978M09,12052
1978M08,12687
1978M07,13161
1978M06,12607
1978M05,12713
1978M04,12004
1978M03,12163
1978M02,11491
1978M01,13725
1979M12,10845
1979M11,11246
1979M10,12073
1979M09,12147
1979M08,13160
1979M07,13187
1979M06,13005
1979M05,13742
1979M04,12203
1979M03,12534
1979M02,11444
1979M01,12379
1980M12,10483
1980M11,11181
1980M10,12452
1980M09,12715
1980M08,12504
1980M07,13415
1980M06,12976
1980M05,13196
1980M04,12380
1980M03,12311
1980M02,11966
1980M01,12555
1981M12,10249
1981M11,10425
1981M10,11248
1981M09,11698
1981M08,11975
1981M07,12591
1981M06,12602
1981M05,12063
1981M04,11731
1981M03,12451
1981M02,11223
1981M01,12697
1982M12,10251
1982M11,10920
1982M10,11529
1982M09,11598
1982M08,11813
1982M07,11896
1982M06,11738
1982M05,12168
1982M04,11370
1982M03,11836
1982M02,10698
1982M01,11458
1983M12,9358
1983M11,9661
1983M10,10890
1983M09,10800
1983M08,11627
1983M07,12136
1983M06,11538
1983M05,12023
1983M04,11355
1983M03,11549
1983M02,10273
1983M01,11398
1984M12,8827
1984M11,9730
1984M10,10482
1984M09,10599
1984M08,10994
1984M07,11517
1984M06,11154
1984M05,11283
1984M04,10354
1984M03,10855
1984M02,9921
1984M01,10008
1985M12,8458
1985M11,8925
1985M10,9833
1985M09,9969
1985M08,9923
1985M07,10457
1985M06,9638
1985M05,10970
1985M04,9801
1985M03,10247
1985M02,8657
1985M01,9603
1990M12,7790
1990M11,8075
1990M10,8847
1990M09,8477
1990M08,8789
1990M07,9316
1990M06,8880
1990M05,8954
1990M04,8407
1990M03,8724
1990M02,7681
1990M01,8289
1991M12,7802
1991M11,8359
1991M10,8842
1991M09,8759
1991M08,8861
1991M07,8985
1991M06,9044
1991M05,9068
1991M04,8125
1991M03,8420
1991M02,7607
1991M01,8748
1992M12,8221
1992M11,8354
1992M10,8845
1992M09,9081
1992M08,8817
1992M07,9166
1992M06,8985
1992M05,8925
1992M04,8415
1992M03,8374
1992M02,8056
1992M01,8842
1993M12,7770
1993M11,8329
1993M10,8769
1993M09,8820
1993M08,8961
1993M07,9266
1993M06,8629
1993M05,8572
1993M04,8159
1993M03,8495
1993M02,7631
1993M01,8398
1994M12,8463
1994M11,8340
1994M10,8966
1994M09,8777
1994M08,8918
1994M07,9489
1994M06,8509
1994M05,8788
1994M04,8551
1994M03,8530
1994M02,7666
1994M01,8766
1995M12,8016
1995M11,8103
1995M10,9021
1995M09,9193
1995M08,8918
1995M07,9130
1995M06,8169
1995M05,8616
1995M04,8072
1995M03,8311
1995M02,7728
1995M01,8218
1996M12,7708
1996M11,7790
1996M10,8365
1996M09,8713
1996M08,9304
1996M07,9719
1996M06,8617
1996M05,8757
1996M04,8044
1996M03,7959
1996M02,7412
1996M01,8330
1997M12,7995
1997M11,7995
1997M10,8701
1997M09,8635
1997M08,8899
1997M07,9890
1997M06,8616
1997M05,8751
1997M04,8100
1997M03,8159
1997M02,7463
1997M01,8834
1998M12,7525
1998M11,7838
1998M10,9051
1998M09,8731
1998M08,8621
1998M07,9708
1998M06,9135
1998M05,8968
1998M04,7836
1998M03,7837
1998M02,7443
1998M01,8201
1999M12,7891
1999M11,8013
1999M10,9028
1999M09,9082
1999M08,9078
1999M07,9813
1999M06,8568
1999M05,7938
1999M04,7532
1999M03,8078
1999M02,7476
1999M01,8146
2000M12,8098
2000M11,8678
2000M10,8994
2000M09,9138
2000M08,9412
2000M07,9665
2000M06,8663
2000M05,8172
2000M04,7712
2000M03,8159
2000M02,7686
2000M01,8890
2001M12,7730
2001M11,8444
2001M10,9279
2001M09,9023
2001M08,9072
2001M07,9429
2001M06,8458
2001M05,8455
2001M04,7936
2001M03,8475
2001M02,7497
2001M01,8484
2003M12,8298
2003M11,8746
2003M10,9413
2003M09,9488
2003M08,9117
2003M07,10003
2003M06,8935
2003M05,8518
2003M04,7642
2003M03,8226
2003M02,7945
2003M01,8089
2006M09,9643
2006M08,10511
2006M07,10298
2006M06,9542
2006M05,9516
2006M04,7623
2006M03,9140
2006M02,8048
2006M01,8559
2007M12,8894
2007M11,9080
2007M10,10216
2007M09,10002
2007M08,10077
2007M07,10252
2007M06,9068
2007M05,9162
2007M04,8107
2007M03,9263
2007M02,8259
2007M01,9546
2008M12,9566
2008M11,9860
2008M10,10751
2008M09,10984
2008M08,10570
2008M07,11224
2008M06,9971
2008M05,9495
2008M04,8573
2008M03,8457
2008M02,8715
2008M01,10136
2009M12,9305
2009M11,9590
2009M10,10639
2009M09,10733
2009M08,9804
2009M07,11572
2009M06,9760
2009M05,9626
2009M04,9054
2009M03,9098
2009M02,8902
2009M01,9850
2011M12,8452
2011M11,9041
2011M10,9239
2011M09,9497
2011M08,9175
2011M07,9969
2011M06,8867
2011M05,8382
2011M04,7733
2011M03,8648
2011M02,8012
2011M01,9413
2012M12,7561
2012M11,7799
2012M10,8767
2012M09,8767
2012M08,8980
2012M07,9137
2012M06,8132
2012M05,8516
2012M04,7699
2012M03,8319
2012M02,7764
2012M01,8930
2013M12,7472
2013M11,7957
2013M10,8902
2013M09,8784
2013M08,8243
2013M07,8499
2013M06,7748
2013M05,7159
2013M04,7080
2013M03,7274
2013M02,6830
2013M01,8186
2014M12,7437
2014M11,7773
2014M10,8426
2014M09,8590
2014M08,7944
2014M07,8747
2014M06,7491
2014M05,7469
2014M04,7069
2014M03,7261
2014M02,6529
2014M01,7413
2015M12,7403
2015M11,7654
2015M10,8381
2015M09,8272
2015M08,8013
2015M07,8787
2015M06,7398
2015M05,7211
2015M04,7083
2015M03,7150
2015M02,6759
2015M01,7736
2016M12,7480
2016M11,7794
2016M10,8362
2016M09,8731
2016M08,8379
2016M07,8475
2016M06,7512
2016M05,7124
2016M04,6976
2016M03,7257
2016M02,6884
2016M01,7924
2017M12,6686
2017M11,7214
2017M10,7804
2017M09,8183
2017M08,7797
2017M07,8033
2017M06,7708
2017M05,7427
2017M04,6418
2017M03,7154
2017M02,6797
2017M01,7332
2018M12,6774
2018M11,7198
2018M10,7763
2018M09,7789
2018M08,7662
2018M07,8187
2018M06,7263
2018M05,6903
2018M04,6094
2018M03,6924
2018M02,6391
2018M01,7492
2019M12,6373
2019M11,7093
2019M10,7672
2019M09,7559
2019M08,7419
2019M07,7916
2019M06,6646
2019M05,6932
2019M04,6307
2019M03,6572
2019M02,6073
2019M01,7201
2020M12,6223
2020M11,6556
2020M10,7687
2020M09,7834
2020M08,6962
2020M07,7974
2020M06,7203
2020M05,6948
2020M04,6399
2020M03,6592
2020M02,6633
2020M01,7753
2021M12,6912
2021M11,7320
2021M10,7481
2021M09,7877
2021M08,7312
2021M07,7477
2021M06,6935
2021M05,6775
2021M04,6560
2021M03,7039
2021M02,6601
2021M01,7057
